date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.86,2.36,1.37,1.27,1.6,0.273,235
2019-12-10T00:00:00.000Z,1.05,11.93,2.1,1.6,2.68,0.963,399
2019-12-11T00:00:00.000Z,0.9,3.88,2.1,1.79,2.46,0.562,332
2019-12-12T00:00:00.000Z,0.85,6.62,1.45,1.28,1.65,0.527,484
2019-12-13T00:00:00.000Z,0.5,2.95,0.9,0.76,1.06,0.26,552
2019-12-14T00:00:00.000Z,0.73,6.72,1.46,1,2.31,1.161,339
2019-12-15T00:00:00.000Z,1.83,10.35,3.52,2.54,4.84,1.742,533
2019-12-16T00:00:00.000Z,3.26,9.25,5.69,4.7,7.35,1.52,258
2019-12-17T00:00:00.000Z,3.66,16,9.51,8.3,12.38,2.749,270
2019-12-18T00:00:00.000Z,0.9,9.65,1.9,1.62,2.31,0.806,350
2019-12-19T00:00:00.000Z,1.4,10.09,3.02,1.96,6.08,2.222,521
2019-12-20T00:00:00.000Z,2.37,17.17,4.05,3.38,4.86,1.693,311
2019-12-21T00:00:00.000Z,1.8,13.35,4.05,2.59,9.22,3.539,78
2019-12-22T00:00:00.000Z,2.29,9.33,3.05,2.78,3.35,0.827,387
2019-12-23T00:00:00.000Z,1,6.14,2.31,1.94,2.59,0.631,458
2019-12-24T00:00:00.000Z,0.6,4.82,1.34,1,1.85,0.679,311
2019-12-25T00:00:00.000Z,1.2,14.42,2.8,1.82,4.01,1.586,567
2019-12-26T00:00:00.000Z,0.75,11.07,2.25,1.35,2.96,1.329,390
2019-12-27T00:00:00.000Z,1.96,13.4,3.29,2.5,6.1,2.086,514
2019-12-28T00:00:00.000Z,3.45,33.95,6.93,5.35,10.52,4.972,543
2019-12-29T00:00:00.000Z,3.73,31.15,10.24,8.09,12.2,4.453,394
2020-01-01T00:00:00.000Z,15.63,17.07,15.73,15.68,16.86,0.586,5
2020-01-08T00:00:00.000Z,13.33,30.1,19.07,17.34,21.63,3.299,234
2020-01-09T00:00:00.000Z,2.95,23.4,11.18,8,15.12,5.232,503
2020-01-10T00:00:00.000Z,1.2,34.22,4.98,3.42,13.62,6.781,408
2020-01-11T00:00:00.000Z,2.13,7.91,3.1,2.72,3.75,0.815,508
2020-01-12T00:00:00.000Z,1.44,12.92,3.05,2.22,4.84,1.829,551
2020-01-13T00:00:00.000Z,2.2,11.75,3.7,3.04,8.07,2.785,467
2020-01-14T00:00:00.000Z,2.58,35,5.04,3.58,7.4,2.469,427
2020-01-15T00:00:00.000Z,2.13,10.75,3.88,2.93,6.42,2.438,454
2020-01-16T00:00:00.000Z,2.04,18.34,5.7,3.61,7.43,3.565,460
2020-01-17T00:00:00.000Z,1.38,8.07,2.58,2.04,2.94,0.998,456
2020-01-18T00:00:00.000Z,1.27,11.28,2.66,1.76,7.4,2.958,495
2020-01-19T00:00:00.000Z,0.8,11.88,4.13,1.4,7.98,3.341,442
2020-01-20T00:00:00.000Z,1.71,16.14,6.43,5,7.98,2.807,307
2020-01-21T00:00:00.000Z,3.93,30.45,11.95,9.65,14.25,4.61,451
2020-01-22T00:00:00.000Z,3.5,5.8,4.49,4.13,5.48,0.762,10
2020-01-23T00:00:00.000Z,6.54,15.13,9.91,8.43,12.81,2.282,86
2020-01-24T00:00:00.000Z,4.36,15.18,9.24,6.63,11.72,2.86,263
2020-01-25T00:00:00.000Z,5.25,16.85,9.75,8.84,11.48,2.237,296
2020-01-26T00:00:00.000Z,1.15,11.18,3.09,1.75,6.96,2.798,308
2020-01-27T00:00:00.000Z,1.45,8.77,2.41,1.88,3.93,1.507,252
2020-01-28T00:00:00.000Z,0.92,4.8,2.04,1.62,2.6,0.709,272
2020-01-29T00:00:00.000Z,0.8,5.26,1.08,0.98,1.5,0.528,310
2020-01-30T00:00:00.000Z,1,6.07,1.75,1.48,2.92,0.934,295
2020-01-31T00:00:00.000Z,1.05,3.07,1.96,1.8,2.21,0.349,281
2020-02-01T00:00:00.000Z,0.7,3.02,1.42,1.1,1.75,0.485,321
2020-02-02T00:00:00.000Z,0.79,4.25,1.05,0.95,1.81,0.863,329
2020-02-03T00:00:00.000Z,0.9,4.38,1.7,1.38,2.13,0.716,308
2020-02-04T00:00:00.000Z,1.06,4.76,2.74,2.19,3.15,0.667,244
2020-02-05T00:00:00.000Z,1.92,13.66,5.7,4.96,7.35,2.348,194
2020-02-06T00:00:00.000Z,1.5,9.13,3.42,2.47,4.94,1.482,223
2020-02-07T00:00:00.000Z,1.78,6.94,2.84,2.37,3.34,0.809,203
2020-02-08T00:00:00.000Z,3.6,23.17,8.27,5.14,14.37,5.612,198
2020-02-09T00:00:00.000Z,7.34,42.75,14.4,12,21.42,8.378,354
2020-02-10T00:00:00.000Z,2.29,12.7,4.69,3.55,5.42,1.793,361
2020-02-11T00:00:00.000Z,1.6,16.64,2.6,2.24,3.52,2.541,363
2020-02-12T00:00:00.000Z,4.13,35.94,7.33,5.9,15.35,8.575,375
2020-02-13T00:00:00.000Z,2.84,32.95,18.57,16.05,23.54,7.265,375
2020-02-14T00:00:00.000Z,2.65,25.79,9.27,3.35,11.56,5.276,389
2020-02-15T00:00:00.000Z,6.94,39.34,19.05,15.9,24.18,6.967,323
2020-02-16T00:00:00.000Z,37.47,63.52,50.05,44.7,56.07,6.554,371
2020-02-17T00:00:00.000Z,6.16,63.61,39.75,34.03,49.11,11.472,348
2020-02-18T00:00:00.000Z,2.9,60.68,4.69,3.85,34.84,17.508,307
2020-02-19T00:00:00.000Z,3.14,6.2,4.22,3.85,4.8,0.685,446
